SR NO,SYMBOL
1,HDFCBANK
2,LT
3,BHARTIARTL
4,RELIANCE
5,MARUTI
6,ICICIBANK
7,BSE
8,SHRIRAMFIN
9,M&M
10,SBIN
11,HINDALCO
12,ETERNAL
13,INDIGO
14,ITC
15,VEDL
16,INFY
17,NATIONALUM
18,DIXON
19,AXISBANK
20,HAL
21,BEL
22,EICHERMOT
23,KAYNES
24,MCX
25,TATASTEEL
26,TCS
27,IDEA
28,ULTRACEMCO
29,KOTAKBANK
30,MUTHOOTFIN
31,POWERGRID
32,MAZDOCK
33,HINDPETRO
34,BAJFINANCE
35,IOC
36,COALINDIA
37,BPCL
38,WAAREEENER
39,VBL
40,SUZLON
41,TIINDIA
42,POWERINDIA
43,HINDZINC
44,ASHOKLEY
45,ONGC
46,SOLARINDS
47,CANBK
48,HDFCAMC
49,BAJAJ-AUTO
50,TMPV
51,JIOFIN
52,COFORGE
53,DLF
54,CUMMINSIND
55,FEDERALBNK
56,ADANIENT
57,CGPOWER
58,BAJAJFINSV
59,HCLTECH
60,TRENT
61,TATAPOWER
62,PFC
63,CDSL
64,BANDHANBNK
65,MAXHEALTH
66,ADANIGREEN
67,GRASIM
68,PGEL
69,TITAN
70,ADANIPORTS
71,PNB
72,SRF
73,BHEL
74,UNIONBANK
75,POLYCAB
76,ABB
77,HEROMOTOCO
78,MOTHERSON
79,APOLLOHOSP
80,SUNPHARMA
81,YESBANK
82,RECLTD
83,JSWSTEEL
84,TVSMOTOR
85,IDFCFIRSTB
86,BANKBARODA
87,TATAELXSI
88,AUROPHARMA
89,INDUSINDBK
90,AMBER
91,NTPC
92,HINDUNILVR
93,CHOLAFIN
94,RVNL
95,WIPRO
96,ADANIENSOL
97,INDIANB
98,GODREJCP
99,JSWENERGY
100,PAYTM
101,DIVISLAB
102,SAIL
103,NHPC
104,AMBUJACEM
105,IRFC
106,TECHM
107,BRITANNIA
108,NAUKRI
109,GAIL
110,TORNTPHARM
111,GMRAIRPORT
112,SIEMENS
113,LAURUSLABS
114,BDL
115,DMART
116,GLENMARK
117,ANGELONE
118,BHARATFORG
119,BANKINDIA
120,INDHOTEL
121,KPITTECH
122,HDFCLIFE
123,LICHSGFIN
124,FORTIS
125,ASIANPAINT
126,PRESTIGE
127,INDUSTOWER
128,SWIGGY
129,NMDC
130,GODREJPROP
131,KEI
132,APLAPOLLO
133,MANAPPURAM
134,OBEROIRLTY
135,UPL
136,SBILIFE
137,MARICO
138,OIL
139,JINDALSTEL
140,PERSISTENT
141,UNITDSPR
142,CIPLA
143,KALYANKJIL
144,DABUR
145,INOXWIND
146,NBCC
147,LODHA
148,HAVELLS
149,CAMS
150,PREMIERENE
151,ICICIPRULI
152,AUBANK
153,LTF
154,DRREDDY
155,ABCAPITAL
156,LUPIN
157,BLUESTARCO
158,CONCOR
159,NYKAA
160,POLICYBZR
161,ALKEM
162,BIOCON
163,LICI
164,IREDA
165,IEX
166,VOLTAS
167,ICICIGI
168,TATACONSUM
169,SYNGENE
170,SAMMAANCAP
171,RBLBANK
172,MFSL
173,COLPAL
174,PETRONET
175,OFSS
176,NESTLEIND
177,LTM
178,MPHASIS
179,HUDCO
180,SUPREMEIND
181,ASTRAL
182,TATATECH
183,KFINTECH
184,PHOENIXLTD
185,UNOMINDA
186,BOSCHLTD
187,PPLPHARMA
188,EXIDEIND
189,PAGEIND
190,SHREECEM
191,TORNTPOWER
192,SBICARD
193,PATANJALI
194,ZYDUSLIFE
195,MANKIND
196,NUVAMA
197,PNBHOUSING
198,PIDILITIND
199,DELHIVERY
200,DALBHARAT
201,BAJAJHLDNG
202,PIIND
203,JUBLFOOD
204,SONACOMS
205,CROMPTON
206,360ONE
